year,deaths_per_100k
1800,0.2097
1801,0.4014
1802,0.0080
1803,1.0823
1804,1.3744
1805,4.3610
1806,6.6546
1807,3.9179
1808,3.0757
1809,6.7779
1810,2.6770
1811,2.7866
1812,13.8377
1813,10.1396
1814,9.4575
1815,4.0836
1816,0.4470
1817,0.4788
1818,1.9071
1819,1.8144
1820,0.3072
1821,0.5540
1822,0.7855
1823,0.7687
1824,0.4838
1825,0.7217
1826,1.0988
1827,3.4536
1828,2.4329
1829,2.0412
1830,0.5809
1831,3.5126
1832,0.2118
1833,0.1731
1834,0.1723
1835,0.0826
1836,0.1438
1837,0.4270
1838,0.2070
1839,0.6616
1840,0.4157
1841,0.7976
1842,0.6800
1843,0.9318
1844,0.4187
1845,0.8819
1846,0.9174
1847,0.3675
1848,1.6215
1849,1.4606
1850,0.0968
1851,0.7862
1852,0.8604
1853,3.4294
1854,3.4207
1855,4.2720
1856,3.6906
1857,1.3433
1858,1.4324
1859,1.8947
1860,1.3469
1861,3.3654
1862,4.1411
1863,3.3878
1864,4.4304
1865,3.8025
1866,2.2583
1867,1.0740
1868,1.0161
1869,0.8303
1870,4.1682
1871,3.8246
1872,0.2057
1873,0.3324
1874,0.1585
1875,0.4436
1876,1.2580
1877,3.6239
1878,1.7136
1879,0.9182
1880,0.3443
1881,0.9641
1882,0.9500
1883,0.9544
1884,0.7828
1885,1.3612
1886,0.5533
1887,0.5639
1888,0.5198
1889,0.6487
1890,0.0332
1891,0.3593
1892,0.4510
1893,0.9731
1894,0.5038
1895,0.9773
1896,0.6178
1897,0.4176
1898,0.2923
1899,1.9999
1900,2.0101
1901,1.6427
1902,1.5169
1903,0.0273
1904,2.3788
1905,2.2137
1906,0.0405
1907,0.0575
1908,0.0121
1909,0.1423
1910,0.0119
1911,0.3810
1912,2.3167
1913,2.4575
1914,69.7397
1915,87.0282
1916,85.5253
1917,85.0246
1918,64.1574
1919,10.0358
1920,8.2654
1921,2.1058
1922,2.1134
1923,0.4495
1924,0.6285
1925,1.9066
1926,1.7563
1927,1.2880
1928,1.2767
1929,0.1515
1930,2.8681
1931,1.4194
1932,1.9096
1933,0.5367
1934,0.6279
1935,0.7023
1936,2.6800
1937,10.6543
1938,10.6080
1939,18.1646
1940,19.4523
1941,182.0030
1942,178.1390
1943,179.5395
1944,186.3337
1945,182.3635
1946,12.2730
1947,12.1928
1948,12.2330
1949,12.0737
1950,5.3621
1951,5.2591
1952,5.1599
1953,5.0644
1954,0.0176
1955,0.0172
1956,0.0423
1957,0.0000
1958,0.0307
1959,0.0000
1960,0.0000
1961,0.0000
1962,0.3979
1963,0.3246
1964,0.3514
1965,4.0484
1966,3.7713
1967,3.8839
1968,3.6711
1969,3.6329
1970,3.3104
1971,3.4592
1972,3.1039
1973,3.3382
1974,0.3631
1975,0.5556
1976,0.2437
1977,0.3219
1978,0.3359
1979,0.8894
1980,0.6166
1981,0.6048
1982,0.9554
1983,0.8876
1984,0.8716
1985,0.8194
1986,0.8051
1987,0.8584
1988,0.7779
1989,0.2811
1990,0.3202
1991,0.7043
1992,0.4481
1993,0.4673
1994,0.5832
1995,0.3514
1996,0.0997
1997,0.0801
1998,0.4252
1999,0.4626
2000,0.4140
2001,0.1891
2002,0.1603
2003,0.0589
2004,0.0000
2005,0.0000
2006,0.0093
2007,0.0000
2008,0.0542
2009,0.0503
2010,0.0000
2011,0.1335
