year,house_party_distance
1879,0.7859
1881,0.7827
1883,0.7244
1885,0.7493
1887,0.7649
1889,0.7953
1891,0.7664
1893,0.7913
1895,0.8381
1897,0.8196
1899,0.8017
1901,0.8163
1903,0.8135
1905,0.8245
1907,0.7987
1909,0.7794
1911,0.7390
1913,0.7117
1915,0.7236
1917,0.7157
1919,0.7153
1921,0.7042
1923,0.6957
1925,0.6752
1927,0.6684
1929,0.6525
1931,0.6160
1933,0.5826
1935,0.5607
1937,0.5695
1939,0.5573
1941,0.5705
1943,0.5503
1945,0.5681
1947,0.5227
1949,0.5526
1951,0.5424
1953,0.5310
1955,0.5563
1957,0.5510
1959,0.5624
1961,0.5397
1963,0.5481
1965,0.5466
1967,0.5385
1969,0.5644
1971,0.5649
1973,0.5844
1975,0.5803
1977,0.5730
1979,0.5961
1981,0.6069
1983,0.6274
1985,0.6433
1987,0.6446
1989,0.6526
1991,0.6589
1993,0.7049
1995,0.7580
1997,0.7771
1999,0.7769
2001,0.7864
2003,0.7930
2005,0.8100
2007,0.8080
2009,0.8054
2011,0.8611
2013,0.8670
2015,0.8758
2017,0.8795
2019,0.8722
2021,0.8834
2023,0.8981
