year,leading_power_gdp_share_pct,leading_power
1870,18.479,China
1871,18.354,China
1872,18.040,China
1873,17.851,China
1874,17.561,China
1875,17.316,China
1876,17.360,China
1877,17.157,China
1878,16.976,China
1879,16.805,China
1880,16.235,China
1881,15.941,China
1882,16.075,United States
1883,16.258,United States
1884,16.277,United States
1885,16.223,United States
1886,16.548,United States
1887,16.840,United States
1888,16.612,United States
1889,17.312,United States
1890,16.579,United States
1891,17.291,United States
1892,18.418,United States
1893,17.547,United States
1894,16.812,United States
1895,18.316,United States
1896,17.957,United States
1897,18.908,United States
1898,18.801,United States
1899,20.072,United States
1900,19.336,United States
1901,20.909,United States
1902,20.808,United States
1903,21.289,United States
1904,20.895,United States
1905,21.897,United States
1906,23.359,United States
1907,23.422,United States
1908,21.912,United States
1909,23.257,United States
1910,22.923,United States
1911,22.951,United States
1912,23.328,United States
1913,22.381,United States
1914,21.335,United States
1915,21.701,United States
1916,23.399,United States
1917,23.057,United States
1918,25.028,United States
1919,25.122,United States
1920,26.018,United States
1921,25.353,United States
1922,25.118,United States
1923,27.244,United States
1924,26.483,United States
1925,25.810,United States
1926,26.387,United States
1927,25.822,United States
1928,25.188,United States
1929,25.298,United States
1930,23.627,United States
1931,22.936,United States
1932,20.367,United States
1933,19.580,United States
1934,20.274,United States
1935,21.438,United States
1936,22.274,United States
1937,22.754,United States
1938,21.322,United States
1939,21.679,United States
1940,23.059,United States
1941,25.177,United States
1942,27.157,United States
1943,28.867,United States
1944,30.534,United States
1945,31.577,United States
1946,30.894,United States
1947,29.954,United States
1948,29.658,United States
1949,28.290,United States
1950,29.154,United States
1951,29.299,United States
1952,29.007,United States
1953,28.703,United States
1954,27.754,United States
1955,27.916,United States
1956,27.256,United States
1957,26.727,United States
1958,25.850,United States
1959,26.426,United States
1960,25.854,United States
1961,25.568,United States
1962,25.720,United States
1963,25.491,United States
1964,25.254,United States
1965,25.523,United States
1966,25.822,United States
1967,25.468,United States
1968,25.299,United States
1969,24.643,United States
1970,23.562,United States
1971,23.287,United States
1972,23.338,United States
1973,22.208,United States
1974,21.651,United States
1975,21.207,United States
1976,21.367,United States
1977,21.470,United States
1978,21.731,United States
1979,21.655,United States
1980,21.088,United States
1981,21.212,United States
1982,20.572,United States
1983,20.848,United States
1984,21.397,United States
1985,21.454,United States
1986,21.462,United States
1987,21.421,United States
1988,21.411,United States
1989,21.475,United States
1990,21.449,United States
1991,21.035,United States
1992,21.287,United States
1993,21.332,United States
1994,21.436,United States
1995,21.188,United States
1996,21.088,United States
1997,21.181,United States
1998,21.597,United States
1999,21.795,United States
2000,21.579,United States
2001,21.168,United States
2002,20.832,United States
2003,20.573,United States
2004,20.220,United States
2005,19.868,United States
2006,19.293,United States
2007,18.607,United States
2008,17.998,United States
2009,17.482,United States
2010,16.926,United States
2011,16.502,United States
2012,16.325,United States
2013,16.092,United States
2014,16.490,China
2015,17.077,China
2016,17.656,China
2017,18.194,China
2018,18.719,China
2019,19.291,China
2020,20.307,China
2021,20.717,China
2022,20.663,China
