year,tech_diffusion_intensity,n_technologies
1865,1.7845,3
1866,0.1149,3
1867,-0.0334,3
1868,0.2879,3
1869,1.4052,3
1870,1.5773,3
1871,0.5939,3
1872,1.3890,4
1873,2.0141,4
1874,2.1482,4
1875,0.8533,5
1876,1.0058,5
1877,1.0705,5
1878,0.6285,5
1879,0.5802,5
1880,0.5085,5
1881,1.1402,6
1882,1.3359,6
1883,0.7522,6
1884,0.7418,6
1885,0.4520,6
1886,0.3339,6
1887,0.2688,6
1888,0.1541,6
1889,0.2774,6
1890,0.5553,7
1891,0.7360,8
1892,0.4200,8
1893,0.3791,8
1894,0.2293,8
1895,-0.0353,8
1896,0.0632,8
1897,-0.0032,8
1898,-0.0651,8
1899,-0.0765,8
1900,-0.0123,8
1901,-0.0420,8
1902,0.2767,8
1903,0.1537,8
1904,0.3217,10
1905,0.6513,24
1906,0.8016,24
1907,0.7958,26
1908,0.3964,26
1909,0.6187,30
1910,0.4882,27
1911,0.2482,27
1912,0.4280,27
1913,0.6029,27
1914,0.1533,30
1915,0.1742,26
1916,0.4640,27
1917,0.5209,27
1918,0.2959,28
1919,0.0305,30
1920,-0.0225,27
1921,-0.4978,28
1922,-0.4134,28
1923,-0.0601,30
1924,0.0014,31
1925,-0.0243,31
1926,1.1079,31
1927,0.4582,32
1928,0.1495,32
1929,0.2856,32
1930,-0.1641,33
1931,-0.1835,32
1932,-0.8262,32
1933,-0.5353,33
1934,-0.4919,33
1935,-0.5448,34
1936,0.0992,32
1937,0.9738,32
1938,0.2479,33
1939,0.4878,33
1940,0.4878,34
1941,0.4188,33
1942,0.4026,37
1943,0.3602,34
1944,0.3668,37
1945,0.0024,36
1946,-0.2142,40
1947,-0.2612,41
1948,-0.0370,41
1949,-0.2576,41
1950,0.1586,42
1951,0.4430,44
1952,0.1010,44
1953,0.2183,45
1954,0.2412,45
1955,0.1459,45
1956,0.0751,45
1957,0.1162,47
1958,-0.0783,45
1959,-0.1262,46
1960,-0.1201,45
1961,-0.2635,45
1962,-0.2093,44
1963,-0.0905,46
1964,-0.1032,47
1965,0.0393,48
1966,0.1086,53
1967,0.0486,51
1968,-0.0124,53
1969,-0.0247,53
1970,-0.0539,59
1971,-0.1224,62
1972,-0.0695,61
1973,-0.0511,62
1974,-0.2779,62
1975,-0.4753,61
1976,-0.3146,63
1977,-0.3939,64
1978,-0.4340,66
1979,-0.3506,64
1980,-0.2683,63
1981,-0.4557,63
1982,-0.6113,63
1983,-0.7231,61
1984,-0.6265,63
1985,-0.4449,64
1986,-0.4603,65
1987,-0.3463,65
1988,-0.1905,64
1989,-0.4273,65
1990,-0.3969,67
1991,-0.3249,66
1992,-0.4154,66
1993,-0.4252,66
1994,-0.4385,64
1995,-0.2208,70
1996,-0.1613,68
1997,-0.2051,69
1998,-0.2305,69
1999,-0.2639,67
2000,-0.2963,66
2001,-0.3506,70
2002,-0.5038,68
2003,-0.4152,66
2004,-0.2062,59
2005,-0.3368,66
2006,-0.2080,62
2007,-0.1665,63
2008,-0.1987,65
2009,-0.3560,63
2010,-0.2973,66
2011,-0.1557,61
2012,-0.3431,60
2013,-0.3250,59
2014,-0.0918,58
2015,-0.2135,59
2016,-0.2555,58
2017,-0.2093,56
2018,-0.2560,56
2019,-0.4475,54
2020,-0.5919,45
2021,-0.6248,38
2022,-0.7015,11
2023,-0.4921,3
