year,mood
1952,54.606
1953,63.898
1954,65.895
1955,68.556
1956,66.918
1957,65.990
1958,65.732
1959,70.744
1960,70.623
1961,72.777
1962,71.303
1963,69.810
1964,66.972
1965,67.172
1966,66.191
1967,67.068
1968,64.914
1969,57.828
1970,66.420
1971,68.693
1972,65.678
1973,62.317
1974,61.888
1975,59.944
1976,60.179
1977,58.161
1978,57.610
1979,56.279
1980,53.898
1981,57.366
1982,57.756
1983,60.731
1984,62.768
1985,62.877
1986,62.283
1987,65.797
1988,67.416
1989,68.343
1990,68.574
1991,69.133
1992,67.588
1993,63.906
1994,60.494
1995,59.018
1996,60.471
1997,62.065
1998,62.426
1999,63.282
2000,64.823
2001,61.703
2002,62.978
2003,62.462
2004,63.236
2005,62.869
2006,64.633
2007,64.114
2008,62.892
2009,55.684
2010,55.515
2011,55.195
2012,54.795
2013,54.296
2014,55.127
2015,56.618
2016,58.915
2017,62.890
2018,64.954
2019,63.974
2020,65.913
2021,64.235
2022,65.447
2023,65.157
2024,64.259
