year,tfp_growth_5yr_avg_pct
1948,3.3576
1949,2.6020
1950,2.2588
1951,2.1081
1952,2.3958
1953,1.9674
1954,2.0714
1955,2.6655
1956,2.4802
1957,1.6905
1958,2.1559
1959,2.2356
1960,1.7480
1961,1.5197
1962,1.9239
1963,1.5980
1964,1.8260
1965,2.2441
1966,2.3497
1967,1.7311
1968,1.9874
1969,2.1215
1970,1.7119
1971,1.4821
1972,1.4961
1973,1.5960
1974,1.0195
1975,1.0600
1976,0.9141
1977,1.0985
1978,0.5853
1979,0.6010
1980,0.2965
1981,-0.1380
1982,0.1358
1983,0.3831
1984,0.6464
1985,0.6178
1986,1.4087
1987,1.1395
1988,0.8260
1989,0.6644
1990,1.1077
1991,0.1304
1992,-0.0013
1993,0.2555
1994,0.4440
1995,0.1396
1996,1.1843
1997,1.8397
1998,1.9663
1999,2.0918
2000,2.4324
2001,2.1871
2002,2.0239
2003,1.8613
2004,1.2685
2005,0.6121
2006,0.1624
2007,0.5386
2008,0.1809
2009,0.1271
2010,0.4432
2011,0.5420
2012,-0.0228
2013,0.2179
2014,0.3321
2015,0.3523
2016,0.4942
2017,0.9038
2018,1.1239
2019,1.4196
2020,1.2359
2021,1.3121
2022,1.1181
2023,0.8295
2024,0.7482
2025,1.0386
