year,dtfp_util_pct
1948,4.7870
1949,2.4175
1950,2.8682
1951,0.3354
1952,0.8860
1953,4.0335
1954,3.8558
1955,0.7263
1956,0.8554
1957,3.8565
1958,3.1071
1959,-0.0931
1960,3.0534
1961,1.2541
1962,1.4186
1963,1.9653
1964,1.9280
1965,1.4239
1966,2.3943
1967,3.5089
1968,2.4932
1969,-1.1649
1970,2.7056
1971,3.0648
1972,1.4608
1973,1.3441
1974,-1.0948
1975,3.2049
1976,0.1826
1977,1.6631
1978,0.6146
1979,-0.1725
1980,0.6387
1981,0.2610
1982,0.1410
1983,-1.5583
1984,1.1964
1985,1.8755
1986,1.5773
1987,-0.0016
1988,2.3962
1989,-0.1499
1990,0.3082
1991,0.7692
1992,2.2148
1993,-2.4902
1994,-0.8086
1995,1.5922
1996,1.7117
1997,0.6929
1998,2.7335
1999,2.4682
2000,2.2254
2001,2.3388
2002,2.3963
2003,1.5068
2004,1.6523
2005,1.4124
2006,-0.6254
2007,-0.8857
2008,-0.7417
2009,3.5333
2010,-0.3760
2011,-0.8946
2012,0.6950
2013,-0.2480
2014,0.7094
2015,0.8278
2016,-0.3238
2017,0.7959
2018,0.4616
2019,2.7572
2020,1.9287
2021,1.1547
2022,-0.1230
2023,0.8427
2024,1.7873
2025,0.4858
