year,us_share_world_gdp_pct
1870,5.132
1871,22.681
1872,22.781
1873,23.422
1874,21.333
1875,23.110
1876,23.501
1877,23.711
1878,24.206
1879,26.666
1880,27.944
1881,27.985
1882,28.760
1883,28.799
1884,24.357
1885,23.275
1886,23.641
1887,19.750
1888,23.451
1889,24.252
1890,17.295
1891,25.070
1892,26.360
1893,25.126
1894,23.934
1895,25.529
1896,24.998
1897,25.928
1898,25.535
1899,27.056
1900,9.879
1901,28.661
1902,28.430
1903,28.830
1904,28.236
1905,29.341
1906,30.714
1907,30.787
1908,28.959
1909,30.280
1910,28.234
1911,26.344
1912,30.032
1913,22.440
1914,29.273
1915,29.724
1916,31.378
1917,31.255
1918,33.946
1919,34.084
1920,13.941
1921,30.170
1922,29.762
1923,31.886
1924,30.509
1925,29.540
1926,29.960
1927,29.331
1928,28.495
1929,25.844
1930,24.233
1931,23.465
1932,20.947
1933,20.130
1934,20.823
1935,21.982
1936,22.728
1937,23.272
1938,21.906
1939,24.726
1940,12.263
1941,32.318
1942,35.410
1943,37.671
1944,39.885
1945,41.959
1946,36.494
1947,34.999
1948,33.370
1949,31.089
1950,13.486
1951,26.753
1952,26.352
1953,26.103
1954,25.194
1955,25.285
1956,24.586
1957,24.136
1958,23.235
1959,23.878
1960,11.935
1961,22.952
1962,23.149
1963,23.093
1964,22.756
1965,22.993
1966,23.269
1967,22.942
1968,22.783
1969,22.277
1970,10.875
1971,20.893
1972,21.023
1973,20.061
1974,20.260
1975,19.854
1976,19.973
1977,20.066
1978,20.315
1979,20.289
1980,10.063
1981,19.339
1982,18.737
1983,18.989
1984,19.541
1985,19.639
1986,19.637
1987,19.642
1988,19.671
1989,19.757
1990,10.309
1991,19.547
1992,19.994
1993,20.150
1994,20.403
1995,20.228
1996,20.172
1997,20.262
1998,20.682
1999,20.860
2000,10.552
2001,20.188
2002,19.840
2003,19.552
2004,19.184
2005,18.820
2006,18.235
2007,17.542
2008,16.935
2009,16.491
2010,8.229
2011,15.551
2012,15.387
2013,15.178
2014,15.019
2015,7.699
2016,7.582
2017,7.475
2018,7.422
2019,7.382
2020,7.393
2021,7.373
2022,7.297
