year,liberal_democracy_index
1789,0.2840
1790,0.2830
1791,0.2830
1792,0.2850
1793,0.2850
1794,0.2860
1795,0.2860
1796,0.2860
1797,0.2860
1798,0.2780
1799,0.2740
1800,0.2820
1801,0.2890
1802,0.2900
1803,0.2890
1804,0.2870
1805,0.2860
1806,0.2860
1807,0.2870
1808,0.2860
1809,0.2860
1810,0.2860
1811,0.2860
1812,0.2860
1813,0.2850
1814,0.2880
1815,0.2880
1816,0.2880
1817,0.2880
1818,0.2890
1819,0.2890
1820,0.2860
1821,0.2830
1822,0.2830
1823,0.2830
1824,0.2830
1825,0.2830
1826,0.2830
1827,0.2840
1828,0.2970
1829,0.2970
1830,0.3000
1831,0.3020
1832,0.3020
1833,0.3120
1834,0.3140
1835,0.3160
1836,0.3160
1837,0.3150
1838,0.3130
1839,0.3130
1840,0.3060
1841,0.2990
1842,0.2990
1843,0.2990
1844,0.2990
1845,0.2990
1846,0.2970
1847,0.2940
1848,0.2940
1849,0.2940
1850,0.2930
1851,0.2930
1852,0.2940
1853,0.2950
1854,0.2940
1855,0.2930
1856,0.2930
1857,0.2930
1858,0.2930
1859,0.2930
1860,0.2960
1861,0.2950
1862,0.3000
1863,0.3020
1864,0.3010
1865,0.3000
1866,0.3200
1867,0.3200
1868,0.3200
1869,0.3200
1870,0.3230
1871,0.3190
1872,0.3190
1873,0.3180
1874,0.3180
1875,0.3180
1876,0.3180
1877,0.3140
1878,0.3150
1879,0.3180
1880,0.3180
1881,0.3180
1882,0.3180
1883,0.3170
1884,0.3160
1885,0.3150
1886,0.3140
1887,0.3160
1888,0.3160
1889,0.3120
1890,0.3120
1891,0.3160
1892,0.3160
1893,0.3160
1894,0.3190
1895,0.3390
1896,0.3530
1897,0.3630
1898,0.3640
1899,0.3670
1900,0.3670
1901,0.3670
1902,0.3680
1903,0.3670
1904,0.3670
1905,0.3660
1906,0.3670
1907,0.3670
1908,0.3670
1909,0.3660
1910,0.3680
1911,0.3740
1912,0.3730
1913,0.3740
1914,0.3690
1915,0.3720
1916,0.3710
1917,0.3590
1918,0.3580
1919,0.3660
1920,0.4290
1921,0.4280
1922,0.4310
1923,0.4430
1924,0.4430
1925,0.4440
1926,0.4450
1927,0.4460
1928,0.4450
1929,0.4450
1930,0.4460
1931,0.4580
1932,0.4610
1933,0.4630
1934,0.4640
1935,0.4700
1936,0.4710
1937,0.4700
1938,0.4700
1939,0.4620
1940,0.4720
1941,0.4650
1942,0.4560
1943,0.4560
1944,0.4560
1945,0.4680
1946,0.5060
1947,0.5170
1948,0.5100
1949,0.4960
1950,0.5020
1951,0.5220
1952,0.5220
1953,0.5150
1954,0.5160
1955,0.5110
1956,0.5170
1957,0.5210
1958,0.5270
1959,0.5270
1960,0.5440
1961,0.5590
1962,0.5600
1963,0.5700
1964,0.5720
1965,0.5700
1966,0.5940
1967,0.6020
1968,0.6020
1969,0.6070
1970,0.6390
1971,0.6460
1972,0.6590
1973,0.6890
1974,0.6960
1975,0.7160
1976,0.7260
1977,0.7650
1978,0.7680
1979,0.7670
1980,0.7780
1981,0.7900
1982,0.7910
1983,0.7950
1984,0.7940
1985,0.7870
1986,0.7920
1987,0.7980
1988,0.7970
1989,0.7940
1990,0.8000
1991,0.8050
1992,0.8090
1993,0.8050
1994,0.8060
1995,0.8080
1996,0.8080
1997,0.8110
1998,0.8100
1999,0.8080
2000,0.8080
2001,0.7690
2002,0.7690
2003,0.7980
2004,0.7990
2005,0.7940
2006,0.8010
2007,0.8400
2008,0.8450
2009,0.8480
2010,0.8480
2011,0.8450
2012,0.8420
2013,0.8520
2014,0.8480
2015,0.8480
2016,0.8300
2017,0.7490
2018,0.7390
2019,0.7400
2020,0.7340
2021,0.7560
2022,0.7690
2023,0.7890
2024,0.7510
2025,0.5710
