year,top1_wealth_share_pct
1820,44.6000
1850,49.7900
1880,40.1100
1900,42.4500
1910,46.6500
1913,46.6300
1914,46.1100
1915,46.1400
1916,44.4600
1917,42.0000
1918,38.4300
1919,41.2700
1920,36.9600
1921,38.1300
1922,41.1200
1923,36.5600
1924,38.6100
1925,41.8900
1926,43.5000
1927,45.8700
1928,48.5500
1929,48.6700
1930,44.1700
1931,39.6100
1932,39.3800
1933,41.5000
1934,42.1300
1935,41.5400
1936,43.9600
1937,44.7300
1938,40.8500
1939,41.9000
1940,38.9800
1941,35.8800
1942,35.3800
1943,35.5400
1944,32.8500
1945,33.0100
1946,30.8900
1947,29.7500
1948,29.2000
1949,28.3600
1950,29.6000
1951,29.1400
1952,28.8200
1953,27.6300
1954,28.2300
1955,28.4800
1956,28.7900
1957,28.4200
1958,27.9700
1959,28.5500
1960,28.5400
1961,28.7000
1962,28.6600
1963,28.3400
1964,28.0300
1965,27.9000
1966,27.7700
1967,27.6600
1968,29.2100
1969,27.3800
1970,26.6700
1971,26.6200
1972,26.4400
1973,25.3100
1974,24.0600
1975,23.7000
1976,22.6000
1977,22.6800
1978,21.7900
1979,23.2300
1980,23.2300
1981,23.8900
1982,24.5000
1983,23.9600
1984,24.1600
1985,24.1900
1986,24.9200
1987,26.5700
1988,28.4400
1989,28.8500
1990,29.0500
1991,28.5700
1992,29.5100
1993,29.0600
1994,29.2800
1995,29.3000
1996,29.6500
1997,30.4700
1998,31.4800
1999,31.8100
2000,32.3400
2001,32.1400
2002,31.4700
2003,31.1000
2004,31.6900
2005,32.3200
2006,32.7100
2007,33.4000
2008,33.9900
2009,33.1200
2010,34.6200
2011,35.2800
2012,36.6200
2013,35.6400
2014,35.8300
2015,35.8100
2016,35.5000
2017,35.4800
2018,35.2000
2019,34.8500
2020,35.1300
2021,36.2600
2022,34.8900
2023,34.7800
2024,34.7800
